-3,141593;951,069071
-3,041593;8,831066
-2,941593;3,672206
-2,841593;1,776200
-2,741593;0,654321
-2,641593;-0,194158
-2,541593;-0,965537
-2,441593;-1,764023
-2,341593;-2,680552
-2,241593;-3,829516
-2,141593;-5,401697
-2,041593;-7,777837
-1,941593;-11,866315
-1,841593;-20,397006
-1,741593;-45,535565
-1,641593;-227,477986
-1,541593;-1103,962456
-1,441593;-44,471972
-1,341593;-10,522537
-1,241593;-3,532539
-1,141593;-1,318441
-1,041593;-0,514955
-0,941593;-0,252378
-0,841593;-0,237807
-0,741593;-0,359057
-0,641593;-0,575804
-0,541593;-0,887177
-0,441593;-1,330129
-0,341593;-2,009615
-0,241593;-3,223265
-0,141593;-6,129015
-0,041593;-23,067898
0,058407;146,981909
0,158407;8,902952
0,258407;0,740902
0,358407;0,009460
0,458407;0,038372
0,558407;0,081689
0,658407;0,077118
0,758407;0,048328
0,858407;0,018673
0,958407;0,001708
1,058407;0,003444
1,158407;0,025313
1,258407;0,066254
1,358407;0,123995
1,458407;0,195790
1,558407;0,278826
1,658407;0,370437
1,758407;0,468204
1,858407;0,569996
1,958407;0,673969
